Country,YearsCode,YearsCodePro,WorkExp,DevType,Age,EdLevel,LanguageHaveWorkedWith,ConvertedCompYearly
Poland,13.0,12.0,13.0,"Engineer, data",35-44 years old,Some college/university study without earning a degree,Bash/Shell (all shells);Java;JavaScript;Python;SQL,81349.0
United States of America,10.0,10.0,13.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Groovy;HTML/CSS;JavaScript;Python;R;SAS;SQL,165000.0
Other,7.0,3.0,4.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Haskell;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,19490.0
United States of America,29.0,26.0,,"Engineer, data",45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;Python;SQL,240000.0
Canada,10.0,7.0,,"Engineer, data",25-34 years old,Something else,Bash/Shell (all shells);C#;HTML/CSS;Python;SQL;VBA;Visual Basic (.Net),68403.0
Finland,5.0,3.0,,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python;SQL,107090.0
Canada,12.0,10.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;R;SQL,148703.0
Other,8.0,3.0,10.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,10000.0
Germany,7.0,7.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL,104948.0
India,19.0,19.0,19.0,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Java;JavaScript;PHP;Python,53314.0
Poland,3.0,1.0,14.0,Data scientist or machine learning specialist,35-44 years old,Some college/university study without earning a degree,Bash/Shell (all shells);Python;SQL,78956.0
Germany,7.0,4.0,3.0,"Engineer, data",18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL,51403.0
Italy,10.0,5.0,5.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Assembly;C;C#;C++;Java;PHP;TypeScript;VBA;Visual Basic (.Net),21418.0
Italy,10.0,7.0,8.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Python;SQL,37481.0
Belgium,15.0,9.0,,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;JavaScript;Python;SQL,72821.0
Other,15.0,5.0,5.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Assembly;Bash/Shell (all shells);C;Groovy;Java;Kotlin;Lua;R;Scala,57724.0
United States of America,33.0,23.0,,Data or business analyst,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Go;PHP;PowerShell;SQL;TypeScript,79000.0
United States of America,14.0,10.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python;R;SQL,238000.0
Other,7.0,2.0,2.0,Data scientist or machine learning specialist,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);JavaScript;Python;Scala;SQL,1070.0
Australia,27.0,25.0,25.0,Data or business analyst,45-54 years old,Some college/university study without earning a degree,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;VBA;Visual Basic (.Net),83952.0
Canada,40.0,30.0,30.0,Data or business analyst,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;Python;SQL,66916.0
Sweden,15.0,10.0,11.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;Lua;Python;SQL;VBA,59892.0
Austria,4.0,4.0,2.0,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",HTML/CSS;Java;PHP;Python;SQL,57828.0
Belgium,4.0,1.0,,Data or business analyst,25-34 years old,Some college/university study without earning a degree,SQL;VBA,38102.0
Other,7.0,3.0,3.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL,16060.0
Canada,28.0,26.0,26.0,Data scientist or machine learning specialist,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;Python;SQL,111527.0
United States of America,6.0,3.0,,"Engineer, data",18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;PowerShell;Python;R;SQL;Visual Basic (.Net),82000.0
United States of America,25.0,23.0,,Data or business analyst,35-44 years old,"Associate degree (A.A., A.S., etc.)",C#;HTML/CSS;JavaScript;SQL,85000.0
Spain,22.0,15.0,15.0,Data or business analyst,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;SQL,54616.0
Spain,5.0,2.0,2.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",MATLAB;Python,26772.0
Germany,10.0,2.0,2.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python;R;SQL,55687.0
Denmark,10.0,4.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL,104819.0
Canada,11.0,7.0,7.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Python,104092.0
Other,8.0,3.0,3.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;C#;C++;Java;JavaScript;Julia;MATLAB;PHP;Python;R;Scala;SQL;Visual Basic (.Net),9636.0
India,5.0,3.0,,Data scientist or machine learning specialist,18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,36351.0
United Kingdom of Great Britain and Northern Ireland,6.0,0.5,,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Haskell;HTML/CSS;JavaScript;MATLAB;OCaml;Python;R;TypeScript,52138.0
Germany,20.0,6.0,6.0,Scientist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C++,87813.0
United States of America,8.0,4.0,6.0,"Engineer, data",45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL,138000.0
Other,15.0,5.0,13.0,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript;Julia;Python;Rust;TypeScript,89955.0
United States of America,34.0,15.0,20.0,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;Kotlin;Python;SQL,200000.0
Australia,6.0,4.0,13.0,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;TypeScript,93868.0
United Kingdom of Great Britain and Northern Ireland,5.0,2.0,3.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;Dart;Go;Julia;PowerShell;Python;Scala;VBA,45931.0
Austria,7.0,3.0,,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python;R;SQL;VBA,71750.0
Austria,35.0,28.0,28.0,"Engineer, data",45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;Java;SQL,89955.0
United States of America,23.0,13.0,13.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;Go;PowerShell;Python;R;SQL;TypeScript,216000.0
United States of America,13.0,11.0,,"Engineer, data",35-44 years old,"Associate degree (A.A., A.S., etc.)",C#;HTML/CSS;Java;JavaScript;Julia;Perl;PHP;PowerShell;Python;R;SQL;VBA;Visual Basic (.Net),45000.0
United States of America,11.0,9.0,20.0,Data or business analyst,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,93000.0
United States of America,28.0,24.0,25.0,Data or business analyst,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;PowerShell,125000.0
Other,8.0,6.0,6.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Java;Python;Scala;SQL,99214.0
Germany,42.0,38.0,35.0,"Engineer, data",55-64 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C;C++;Dart;Kotlin;Python,81388.0
Brazil,11.0,10.0,10.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;C#;C++;Delphi;Java;JavaScript;PHP;PowerShell;Python;R;SQL;TypeScript;VBA;Visual Basic (.Net),44633.0
Other,8.0,2.0,3.0,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript;Python,21000.0
Other,5.0,5.0,3.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;Python;R;SQL,25000.0
Austria,9.0,5.0,,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C;Go;Haskell;JavaScript;Kotlin;Python;Scala;SQL;TypeScript,85672.0
Poland,8.0,6.0,15.0,Data or business analyst,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;Python;SQL;VBA,28711.0
United States of America,4.0,3.0,,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript;Python,130000.0
United States of America,10.0,8.0,9.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL,150000.0
Switzerland,4.0,2.0,3.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;R;SQL,124544.0
United States of America,18.0,10.0,8.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Apex;Python,103000.0
United States of America,12.0,8.0,8.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;MATLAB;Python;R,190000.0
United States of America,10.0,6.0,8.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Python;R;SQL,225000.0
Germany,24.0,10.0,,Data or business analyst,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;SQL;VBA,106019.0
Switzerland,16.0,10.0,10.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Java;JavaScript;Python;SQL,93684.0
Germany,3.0,2.0,16.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Groovy;Python;SQL,155280.0
France,13.0,13.0,18.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;Java;JavaScript;PowerShell;Scala;SQL,85672.0
United States of America,10.0,9.0,19.0,"Engineer, data",25-34 years old,"Associate degree (A.A., A.S., etc.)",C#;HTML/CSS;JavaScript;PowerShell;SQL;VBA;Visual Basic (.Net),83500.0
Poland,5.0,4.0,5.0,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;R;SQL;VBA,12346.0
United States of America,13.0,9.0,,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;Python,351000.0
Other,13.0,6.0,6.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Java;Python,47119.0
Other,22.0,17.0,17.0,"Engineer, data",35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,30300.0
United States of America,11.0,8.0,8.0,Data scientist or machine learning specialist,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;Java;JavaScript;Python;SQL,110000.0
United States of America,16.0,9.0,10.0,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);Fortran;Python;SQL,140000.0
United States of America,18.0,10.0,10.0,"Engineer, data",35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL,175000.0
United States of America,11.0,5.0,5.0,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,121590.0
Italy,8.0,3.0,,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;Python;R;SQL,26772.0
United States of America,30.0,12.0,15.0,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python;R;SQL,180000.0
United States of America,14.0,14.0,,Scientist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C;Perl;Python;R;SQL,70000.0
United States of America,10.0,10.0,,Data scientist or machine learning specialist,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Haskell;PowerShell;Python;R;SAS;SQL;VBA,131000.0
Other,5.0,3.0,5.0,Scientist,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C++;JavaScript;Python,1692.0
United States of America,9.0,7.0,7.0,Scientist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;C++;Lua;Python;Ruby,74000.0
United States of America,20.0,16.0,,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;Python;SQL,240000.0
Germany,15.0,5.0,,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Julia;Python;R,68537.0
United States of America,5.0,4.0,4.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Python;SQL,140000.0
Brazil,4.0,1.0,,Data or business analyst,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;R;SQL,11341.0
United Kingdom of Great Britain and Northern Ireland,8.0,5.0,5.0,"Engineer, data",25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Bash/Shell (all shells);Python;Rust,95586.0
Brazil,13.0,8.0,8.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python,40060.0
Germany,7.0,2.0,2.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;MATLAB;PowerShell;Python;R;SQL,55687.0
India,5.0,2.0,2.0,"Engineer, data",18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;Python;SQL,14540.0
Other,17.0,9.0,12.0,Data or business analyst,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;Java;PHP;Scala;SQL,48000.0
Canada,14.0,10.0,,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;R;SQL;VBA,297406.0
Germany,11.0,5.0,9.0,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);Go;HTML/CSS;PowerShell;Python;SQL,85672.0
Finland,7.0,5.0,,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript;Python;Scala;SQL;TypeScript;VBA,77104.0
Brazil,7.0,4.0,5.0,Data scientist or machine learning specialist,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Julia;Python;R;SQL;VBA,40575.0
United States of America,7.0,4.0,,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;SQL,92000.0
United States of America,11.0,5.0,6.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;SQL,152000.0
United States of America,8.0,8.0,8.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;Python,130000.0
Canada,23.0,16.0,,Scientist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;Python;VBA,55764.0
United States of America,10.0,10.0,10.0,Data or business analyst,35-44 years old,Some college/university study without earning a degree,C#;F#;PowerShell;Python;Ruby;SQL;VBA,132500.0
United States of America,9.0,5.0,,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;Ruby,150000.0
Germany,9.0,9.0,11.0,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",R,96381.0
Spain,23.0,19.0,19.0,"Engineer, data",45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);Python;Scala;SQL,77104.0
United States of America,10.0,12.0,10.0,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;C++;Dart;Go;HTML/CSS;Java;JavaScript;Objective-C;Perl;PHP;PowerShell;Python;Ruby;Rust;SQL;Swift;TypeScript;Visual Basic (.Net),100000.0
United States of America,2.0,0.5,,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;C++;Cobol;Python;Rust,65000.0
United States of America,14.0,6.0,,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;PowerShell;Python;R;SQL,126500.0
Canada,7.0,6.0,6.0,"Engineer, data",35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;C++;JavaScript;Python;SQL;TypeScript,96657.0
Finland,8.0,6.0,8.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C++;JavaScript;Python;SQL,53545.0
United States of America,14.0,7.0,15.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;Python;Rust;TypeScript,300000.0
United States of America,16.0,14.0,35.0,Data scientist or machine learning specialist,55-64 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",R;SQL,160000.0
Other,10.0,6.0,4.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;Python;SQL;TypeScript,23293.0
United States of America,8.0,6.0,6.0,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python;SQL,168000.0
Canada,12.0,9.0,9.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C++;MATLAB;Python,113014.0
United States of America,9.0,6.0,6.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;Ruby,250000.0
Brazil,9.0,6.0,,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;Java;JavaScript;Python;SQL,22316.0
Other,12.0,0.5,1.0,Scientist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C++;HTML/CSS;JavaScript;PHP;Python;SQL,16706.0
Canada,7.0,4.0,4.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Go;Python;Scala,111527.0
Germany,23.0,6.0,6.0,"Engineer, data",25-34 years old,Some college/university study without earning a degree,Lua;Rust,45513.0
Brazil,26.0,24.0,24.0,Data or business analyst,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",R,28403.0
United States of America,8.0,6.0,6.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Java;Python;SQL,175000.0
Canada,15.0,5.0,5.0,"Engineer, data",25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C;C++;Python;R,92939.0
United Kingdom of Great Britain and Northern Ireland,5.0,5.0,5.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript;Python;SAS;SQL,86897.0
United States of America,14.0,2.0,2.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;Python;SQL,200000.0
Canada,25.0,17.0,21.0,"Engineer, data",45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;Python;TypeScript,148703.0
United States of America,19.0,12.0,,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",R;SQL,130000.0
Israel,7.0,5.0,5.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Java;Python;Scala;SQL,133640.0
United States of America,50.0,50.0,,Scientist,65 years or older,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",MATLAB;Python,210000.0
Brazil,7.0,7.0,8.0,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;Lisp;Python;SQL;VBA,36518.0
France,11.0,9.0,,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Scala,83530.0
